epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.221,1.57494,2.51881,1.25809,0.42914,0.62076,0.47334,0.23502,1.58938,1.78576,1.20678,0.000551962,0.000551962,0.000551962
2,300.854,1.41059,1.70468,1.16952,0.57188,0.58442,0.58066,0.31711,1.51998,1.59512,1.16313,0.00107108,0.00107108,0.00107108
3,450.622,1.43387,1.62366,1.17652,0.68095,0.66535,0.69955,0.34011,1.61066,1.40476,1.2086,0.00155352,0.00155352,0.00155352
4,620.223,1.40709,1.49649,1.18581,0.65556,0.66568,0.67706,0.30762,1.66132,1.40987,1.19863,0.00150197,0.00150197,0.00150197
5,803.783,1.36068,1.34376,1.16381,0.68355,0.67843,0.74591,0.36966,1.55278,1.29435,1.16833,0.00144696,0.00144696,0.00144696
6,994.154,1.35311,1.28308,1.14981,0.68025,0.71621,0.69517,0.36043,1.54434,1.2368,1.18227,0.00139195,0.00139195,0.00139195
7,1207.01,1.34017,1.16908,1.13294,0.73089,0.75121,0.72499,0.38145,1.46614,1.21428,1.15283,0.00133693,0.00133693,0.00133693
8,1945.76,1.32235,1.16265,1.1436,0.65169,0.75862,0.7134,0.3419,1.65879,1.23882,1.25571,0.00128192,0.00128192,0.00128192
9,2133.42,1.32535,1.08062,1.13171,0.66748,0.76558,0.73023,0.39482,1.49662,1.18512,1.1696,0.00122691,0.00122691,0.00122691
10,2314.4,1.25987,1.06789,1.10675,0.70533,0.66973,0.73238,0.38644,1.54383,1.09664,1.16365,0.0011719,0.0011719,0.0011719
11,2493.84,1.26932,1.00793,1.11207,0.72066,0.69709,0.73329,0.38375,1.5433,1.11073,1.20185,0.00111689,0.00111689,0.00111689
12,2673.3,1.2491,0.99792,1.09672,0.77461,0.65279,0.71459,0.36629,1.5504,1.14544,1.19707,0.00106188,0.00106188,0.00106188
13,2852.94,1.22493,0.93519,1.08297,0.77197,0.70974,0.75737,0.41136,1.4679,1.03035,1.13015,0.00100687,0.00100687,0.00100687
14,3031.53,1.24501,0.9201,1.09955,0.74476,0.79033,0.78905,0.43945,1.42086,0.98773,1.13645,0.000951857,0.000951857,0.000951857
15,3212.85,1.22466,0.89897,1.07767,0.78068,0.76001,0.78864,0.41908,1.49669,0.96744,1.16677,0.000896846,0.000896846,0.000896846
16,3391.56,1.19678,0.89119,1.09103,0.75687,0.70756,0.75645,0.41884,1.47159,0.99024,1.14459,0.000841835,0.000841835,0.000841835
17,3568.8,1.18638,0.84332,1.07209,0.76706,0.77816,0.79316,0.41221,1.55299,0.97537,1.19738,0.000786824,0.000786824,0.000786824
18,3748.27,1.18428,0.81033,1.07656,0.80793,0.76558,0.81365,0.42848,1.46363,0.94817,1.14652,0.000731813,0.000731813,0.000731813
19,3924.5,1.17252,0.781,1.06577,0.76733,0.74164,0.78251,0.42268,1.42426,1.01257,1.12722,0.000676802,0.000676802,0.000676802
20,4102.3,1.13986,0.79046,1.05294,0.76566,0.7481,0.7772,0.42864,1.43098,0.95387,1.13355,0.000621791,0.000621791,0.000621791
21,4282.31,1.15328,0.7563,1.05659,0.74577,0.79698,0.79128,0.39704,1.58361,0.93622,1.20161,0.00056678,0.00056678,0.00056678
22,4461.77,1.12935,0.74496,1.04734,0.75542,0.7517,0.78986,0.44441,1.40385,0.9114,1.11871,0.000511769,0.000511769,0.000511769
23,4636.47,1.10626,0.70458,1.03036,0.73741,0.77348,0.8093,0.44402,1.40712,0.89503,1.11934,0.000456758,0.000456758,0.000456758
24,4837.3,1.10306,0.68171,1.04178,0.75395,0.78043,0.79018,0.43221,1.44618,0.93129,1.14751,0.000401747,0.000401747,0.000401747
25,5024.7,1.07864,0.67259,1.02835,0.73722,0.76655,0.78902,0.43156,1.42549,0.92414,1.13489,0.000346736,0.000346736,0.000346736
26,5208.47,1.04604,0.65617,1.00701,0.71504,0.79505,0.78427,0.44749,1.36536,0.88785,1.1027,0.000291725,0.000291725,0.000291725
27,5385.48,1.05713,0.64759,1.01252,0.72492,0.76589,0.77917,0.43422,1.42744,0.9085,1.1305,0.000236714,0.000236714,0.000236714
28,5546.55,1.0464,0.6221,1.00955,0.72099,0.77611,0.77893,0.43651,1.40258,0.89647,1.11862,0.000181703,0.000181703,0.000181703
29,5705.74,1.03677,0.62881,1.00949,0.70868,0.78212,0.78252,0.4373,1.40187,0.89027,1.11858,0.000126692,0.000126692,0.000126692
30,5863.78,1.0116,0.60995,0.99764,0.71294,0.77802,0.78805,0.4453,1.40077,0.88867,1.11919,7.1681e-05,7.1681e-05,7.1681e-05
