epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1311.61,1.13343,1.18099,1.38886,0.85091,0.78613,0.83086,0.50963,1.29441,1.11952,1.44339,0.000665483,0.000665483,0.000665483
2,3116.55,1.11345,0.83123,1.36431,0.91487,0.79339,0.8489,0.51742,1.31232,0.88301,1.57446,0.00126621,0.00126621,0.00126621
3,5039.08,1.08026,0.73179,1.3357,0.89482,0.79201,0.84494,0.55328,1.21711,0.89836,1.41831,0.00180093,0.00180093,0.00180093
4,7187.16,1.00316,0.6522,1.27665,0.88122,0.80732,0.84662,0.55709,1.23882,0.82028,1.48633,0.001703,0.001703,0.001703
5,8990.13,0.92211,0.59247,1.21726,0.90353,0.81129,0.8636,0.55641,1.17459,0.79672,1.44178,0.001604,0.001604,0.001604
6,10758.1,0.85094,0.53887,1.15919,0.93561,0.78237,0.86785,0.56761,1.1851,0.78714,1.46405,0.001505,0.001505,0.001505
7,12485.3,0.7902,0.49222,1.11053,0.91489,0.82915,0.88592,0.59601,1.1083,0.6856,1.36117,0.001406,0.001406,0.001406
8,14288.6,0.71995,0.44864,1.05925,0.91403,0.84435,0.89304,0.58946,1.13175,0.71107,1.4504,0.001307,0.001307,0.001307
9,16160.3,0.65794,0.40713,1.0144,0.90568,0.84435,0.89446,0.60774,1.08642,0.68152,1.40907,0.001208,0.001208,0.001208
10,18022,0.59948,0.36915,0.97394,0.91898,0.84986,0.89911,0.6138,1.07082,0.64984,1.4477,0.001109,0.001109,0.001109
11,19999,0.55211,0.33982,0.94484,0.93122,0.84986,0.9033,0.62062,1.04149,0.6322,1.43186,0.00101,0.00101,0.00101
12,22119.1,0.50157,0.3095,0.9153,0.92362,0.85813,0.9038,0.61844,1.05861,0.64989,1.46407,0.000911,0.000911,0.000911
13,23593.1,0.46267,0.28557,0.8973,0.9542,0.83215,0.90778,0.62985,1.04298,0.63362,1.47464,0.000812,0.000812,0.000812
14,25171.9,0.42693,0.26378,0.87932,0.93838,0.83898,0.89957,0.62307,1.01478,0.65135,1.48973,0.000713,0.000713,0.000713
15,26558,0.3922,0.24402,0.86381,0.94209,0.8416,0.90533,0.6292,1.01454,0.65071,1.46634,0.000614,0.000614,0.000614
16,27778.6,0.35837,0.22604,0.85169,0.93664,0.85124,0.90383,0.6252,1.00588,0.69214,1.47671,0.000515,0.000515,0.000515
17,28998.7,0.32556,0.21065,0.84019,0.94793,0.84711,0.90218,0.64008,0.97325,0.66027,1.44195,0.000416,0.000416,0.000416
18,30264.6,0.29752,0.19451,0.83219,0.95506,0.84573,0.91034,0.64101,0.97409,0.65433,1.46559,0.000317,0.000317,0.000317
19,31777.3,0.26813,0.1817,0.8215,0.95691,0.83884,0.90354,0.64496,0.97078,0.65961,1.47617,0.000218,0.000218,0.000218
20,33372.7,0.24256,0.16895,0.81679,0.95035,0.84374,0.90286,0.63903,0.96435,0.67107,1.47528,0.000119,0.000119,0.000119
