epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0873,1.12345,2.04497,1.25468,0.43626,0.62378,0.52267,0.36476,0.84936,1.56448,0.98878,0.000332036,0.000332036,0.0671284
2,101.259,1.04262,1.53362,1.20726,0.40922,0.63604,0.47556,0.3142,0.93775,1.60584,1.18335,0.000658782,0.000658782,0.0341218
3,148.525,1.01295,1.49447,1.2208,0.65579,0.65138,0.72635,0.55262,0.73694,1.24079,1.00867,0.000978929,0.000978929,0.00110863
4,198.322,0.96696,1.35522,1.18832,0.60341,0.80299,0.7368,0.57341,0.78533,1.12432,0.96359,0.0009703,0.0009703,0.0009703
5,246.042,0.92673,1.31167,1.15545,0.78516,0.79659,0.84304,0.67222,0.72938,1.04508,0.96015,0.0009604,0.0009604,0.0009604
6,294.129,0.9181,1.23227,1.16033,0.80885,0.74472,0.83118,0.6633,0.67443,0.99771,0.94737,0.0009505,0.0009505,0.0009505
7,342.542,0.91678,1.26483,1.16786,0.79471,0.80955,0.86238,0.7001,0.66984,1.22381,0.93299,0.0009406,0.0009406,0.0009406
8,391.632,0.89692,1.14652,1.14849,0.80703,0.7704,0.83739,0.66854,0.68886,0.98569,0.98423,0.0009307,0.0009307,0.0009307
9,438.838,0.85403,1.09718,1.11652,0.83247,0.80343,0.86493,0.71223,0.64118,0.96062,0.92771,0.0009208,0.0009208,0.0009208
10,486.733,0.82044,1.07254,1.1113,0.82523,0.8336,0.89576,0.74783,0.59905,0.843,0.9089,0.0009109,0.0009109,0.0009109
11,536.149,0.84384,1.04003,1.12102,0.88991,0.81998,0.89018,0.74136,0.63185,0.88082,0.91949,0.000901,0.000901,0.000901
12,583.233,0.82097,1.03127,1.12129,0.79109,0.83793,0.88278,0.74799,0.60736,0.83634,0.89901,0.0008911,0.0008911,0.0008911
13,631.103,0.81548,1.02545,1.0993,0.89865,0.79665,0.89779,0.75383,0.58838,0.80102,0.90307,0.0008812,0.0008812,0.0008812
14,680.644,0.81629,1.00593,1.09862,0.88121,0.8386,0.90383,0.77526,0.58566,0.77294,0.89968,0.0008713,0.0008713,0.0008713
