epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1563.64,1.47697,2.32131,1.31333,0.37396,0.37826,0.29074,0.15958,1.61178,2.40827,1.38422,0.000416,0.000416,0.000416
2,3322.86,1.58652,2.17538,1.38994,0.41582,0.3225,0.30614,0.1696,1.65764,2.1463,1.41713,0.00079145,0.00079145,0.00079145
3,5077.29,1.61298,2.12429,1.40808,0.45377,0.32832,0.33028,0.18442,1.63738,2.02328,1.4283,0.00112565,0.00112565,0.00112565
4,6617.51,1.60851,2.06813,1.39885,0.47968,0.34082,0.34192,0.19337,1.61513,1.99944,1.37405,0.00106437,0.00106437,0.00106437
5,8088.49,1.54586,1.96015,1.37072,0.44376,0.37407,0.35948,0.21002,1.56052,1.93163,1.37019,0.0010025,0.0010025,0.0010025
6,9525.15,1.52126,1.92375,1.35218,0.51765,0.39583,0.40543,0.24559,1.52212,1.74866,1.34385,0.000940625,0.000940625,0.000940625
7,11385,1.48591,1.83897,1.32995,0.57106,0.3908,0.43541,0.27549,1.48426,1.68503,1.30542,0.00087875,0.00087875,0.00087875
8,13306.5,1.46221,1.78695,1.32649,0.56285,0.42803,0.45202,0.28227,1.45204,1.62518,1.28441,0.000816875,0.000816875,0.000816875
9,15088.3,1.44679,1.75968,1.31629,0.54779,0.43351,0.46542,0.29552,1.43383,1.59792,1.27969,0.000755,0.000755,0.000755
10,16979.2,1.40709,1.68669,1.2918,0.59384,0.41504,0.46565,0.29704,1.42015,1.5574,1.26654,0.000693125,0.000693125,0.000693125
11,18794.5,1.43685,1.61718,1.28672,0.60274,0.43237,0.48929,0.31653,1.40742,1.52679,1.25189,0.00063125,0.00063125,0.00063125
12,20017.5,1.40815,1.57908,1.27238,0.6099,0.43853,0.49476,0.31773,1.39373,1.50064,1.25066,0.000569375,0.000569375,0.000569375
13,21231.7,1.39059,1.53021,1.26445,0.60937,0.44819,0.49435,0.32491,1.36938,1.47786,1.23391,0.0005075,0.0005075,0.0005075
14,22474.7,1.36146,1.46704,1.2408,0.6255,0.45097,0.50969,0.3299,1.35451,1.43927,1.23005,0.000445625,0.000445625,0.000445625
15,23732.4,1.33941,1.43465,1.22981,0.65268,0.45051,0.51278,0.33636,1.3433,1.42564,1.21216,0.00038375,0.00038375,0.00038375
16,24933.1,1.30942,1.36894,1.20716,0.65418,0.48175,0.54008,0.3542,1.33532,1.38803,1.20713,0.000321875,0.000321875,0.000321875
17,26141.4,1.30031,1.34784,1.20127,0.65171,0.47085,0.53596,0.35497,1.33166,1.3608,1.20858,0.00026,0.00026,0.00026
18,27344.1,1.27887,1.29825,1.19101,0.67153,0.48553,0.54821,0.36174,1.31468,1.34646,1.19189,0.000198125,0.000198125,0.000198125
19,28561.1,1.26332,1.27566,1.18604,0.66621,0.48519,0.55076,0.36302,1.30427,1.33339,1.18519,0.00013625,0.00013625,0.00013625
20,29767.4,1.23881,1.23267,1.16663,0.66597,0.49454,0.56155,0.37045,1.29506,1.31287,1.18353,7.4375e-05,7.4375e-05,7.4375e-05
